country_generic,counts
0,algeria,314152.0
1,american samoa,46610.0
2,andorra,67308.0
3,anguilla,36844.5
4,antigua and barbuda,26839.0
5,argentina,1279127.5
6,aruba,65764.0
7,australia,7377296.0
8,austria,1177279.0
9,bahamas,384048.5
10,bangladesh,1085158.5
11,belgium,1101528.5
12,belize,189373.0
13,bermuda,312812.5
14,botswana,172985.5
15,brazil,2360050.5
16,brunei,161978.5
17,bulgaria,494722.0
18,cambodia,403925.5
19,cameroon,283627.0
20,canada,8773569.0
21,cayman islands,75664.5
22,chile,1133365.0
23,china,15970830.5
24,colombia,774560.5
25,costa rica,346855.5
26,croatia,507345.0
27,cyprus,543376.0
28,czechia,3037390.5
29,denmark,1198378.5
30,dominica,64399.0
31,egypt,2377324.5
32,estonia,305961.5
33,eswatini,12712.0
34,fiji,408716.0
35,finland,1072743.5
36,france,8460166.5
37,germany,7000953.0
38,ghana,734594.5
39,gibraltar,326863.0
40,greece,1894637.5
41,grenada,85922.0
42,guam,236316.5
43,guyana,122422.5
44,hong kong,2708566.5
45,hungary,868522.5
46,india,11018267.0
47,iraq,3882290.5
48,ireland,4361192.5
49,israel,7668604.5
50,italy,3881471.0
51,jamaica,561093.0
52,japan,7236658.5
53,jordan,3472406.5
54,kazakhstan,320169.5
55,kenya,986098.0
56,kiribati,38980.5
57,latvia,241473.0
58,lebanon,849913.0
59,lesotho,69086.0
60,liberia,226363.0
61,lithuania,336684.5
62,luxembourg,396107.0
63,madagascar,278390.0
64,malawi,268029.5
65,malaysia,1266444.0
66,malta,475242.0
67,marshall islands,50407.5
68,mauritius,158526.5
69,mexico,6054710.5
70,montserrat,61517.0
71,morocco,557515.0
72,myanmar,503598.5
73,namibia,172765.0
74,nauru,88063.5
75,nepal,727302.0
76,netherlands,3260800.5
77,new zealand,4143085.5
78,nigeria,1127642.0
79,norway,1468119.5
80,pakistan,3260937.5
81,palau,88335.5
82,panama,836709.0
83,papua new guinea,175770.5
84,pile_set_name,EuroParlOpenWebText2FreeLawNIH ExPorterPile-CCGutenberg (PG-19)HackerNewsDM MathematicsUbuntu IRCYoutubeSubtitlesPubMed CentralPubMed AbstractsEnron EmailsOpenSubtitlesPhilPapersStackExchangeArXivGithubUSPTO BackgroundsBooks3BookCorpus2Wikipedia (en)
85,poland,1965165.5
86,portugal,1220155.5
87,puerto rico,955347.5
88,romania,673234.0
89,russia,8107207.5
90,rwanda,293795.5
91,saint kitts and nevis,15896.0
92,saint lucia,26135.0
93,saint vincent and the grenadines,13255.0
94,samoa,220247.5
95,seychelles,99644.0
96,sierra leone,247905.5
97,slovakia,534942.0
98,slovenia,529574.0
99,solomon islands,91840.0
100,south africa,1964963.0
101,spain,3347464.5
102,sri lanka,699842.0
103,suriname,67986.0
104,sweden,1974460.0
105,switzerland,3050099.5
106,tanzania,435756.0
107,thailand,1209797.0
108,the british virgin islands,25857.5
109,the cook islands,28254.0
110,the federated states of micronesia,7067.5
111,the gambia,71402.5
112,the isle of man,80548.0
113,the northern mariana islands,15656.5
114,the philippines,1102938.0
115,the united kingdom,14250420.0
116,the united states,58344057.5
117,the us virgin islands,6103.5
118,tonga,139081.5
119,total_documents,364700586.0
120,trinidad and tobago,107720.0
121,turkey,3520789.5
122,uganda,681597.5
123,ukraine,2682548.5
124,uruguay,328082.5
125,vanuatu,83179.0
126,yemen,666615.5
127,zambia,244642.5
128,zimbabwe,520042.0
